DATE,T2MIN,T2MAX,RH,wind,Prep,mean_temp
2020-01-01,0.96,20.55,69.56,2.12,2.45,10.69
2020-02-01,3.47,25.72,61.94,2.45,0.56,14.65
2020-03-01,9.33,27.8,69.44,2.77,4.41,18.35
2020-04-01,13.13,37.43,56.69,2.82,0.96,24.88
2020-05-01,19.58,44.68,40.69,3.11,1.62,31.12
2020-06-01,23.03,43.59,43,2.3,2.55,33.62
2020-07-01,25.54,43.99,59.44,2.28,9.25,32.71
2020-08-01,24.3,38,78.56,2.17,11.35,29.95
2020-09-01,21.1,35.25,69.88,2.05,1.01,28.51
2020-10-01,14.19,34.97,42.25,2.04,0,24.89
2020-11-01,6.59,29.83,47.38,2.25,0.75,17.65
2020-12-01,2.34,26.73,54.44,2.3,0.62,13.4
2021-01-01,3.27,22.15,60.19,2.34,0.85,12.01
2021-02-01,5.73,31.03,48.31,2.27,0.38,17.47
2021-03-01,11.25,37.24,38.38,3.2,0.34,23.65
2021-04-01,11.07,40.68,34.62,3.29,1.55,26.58
2021-05-01,22.48,43.83,32.81,2.68,1.64,32.16
2021-06-01,24.64,46.05,38.06,2.7,2.84,34.41
2021-07-01,25.71,44.81,59.81,2.32,12.25,32.9
2021-08-01,23.73,37.51,71.56,1.93,4.87,30.15
2021-09-01,22.39,35.01,76.69,1.79,7.19,28.25
2021-10-01,13.74,33.9,68.06,2.29,2.05,24.19
2021-11-01,9.73,28.93,51.81,2.16,0.01,18.08
2021-12-01,1.97,26.23,53.81,2.05,0.09,13.18
